frame_num,fitting_error,radius,center [x_cor; y_cor]
139,0.156396,66.4911,[892.652; 379.057]
140,0.183711,65.763,[893.396; 382.964]
141,0.160881,66.633,[895.458; 374.033]
142,0.163748,65.8263,[894.536; 364.164]
143,0.256897,65.3097,[890.042; 358.763]
144,0.292076,65.3167,[881.734; 353.579]
145,0.24909,65.3204,[873.533; 350.374]
146,0.299914,65.5997,[864.438; 350.03]
147,0.293782,65.5987,[854.389; 350.42]
148,0.316138,66.2638,[843.216; 359.873]
149,0.263444,65.4716,[834.637; 368.308]
150,0.232635,65.2384,[830.052; 374.332]
151,0.25557,64.9532,[828.969; 381.338]
152,0.340311,65.0337,[830.701; 391.264]
153,0.328918,65.0322,[831.567; 403.776]
154,0.352872,65.0336,[835.341; 420.058]
155,0.28863,64.2607,[840.322; 429.382]
156,0.245354,64.1593,[846.061; 431.913]
157,0.385491,64.403,[853.583; 439.311]
158,0.305951,64.0903,[860.408; 449.849]
159,0.229771,64.0149,[864.096; 452.904]
160,0.255402,63.9679,[872.418; 450.956]
161,0.119442,63.8628,[877.18; 446.791]
162,0.186733,64.3599,[880.277; 441.69]
163,0.212166,63.7005,[887.488; 430.139]
164,0.168138,64.5039,[895.647; 411.13]
165,0.176182,63.2433,[895.483; 401.284]
166,0.19871,63.8367,[893.887; 393.805]
167,0.32136,61.6771,[895.213; 379.706]
168,0.335146,61.1515,[899.141; 354.779]
169,0.240902,62.5135,[896.533; 340.264]
170,0.362563,59.4261,[884.276; 342.039]
171,0.452829,57.5084,[867.481; 346.055]
172,0.141046,57.7826,[851.791; 358.725]
173,0.175111,61.0419,[835.753; 365.027]
174,0.123723,60.705,[831.689; 361.087]
175,0.325431,48.7813,[831.297; 365.438]
176,0.217625,60.2962,[834.842; 370.785]
177,0.24873,48.7106,[842.998; 368.1]
178,0.132355,60.6166,[848.531; 363.83]
179,0.454408,52.346,[853.868; 374.229]
180,0.203064,60.7932,[866.972; 372.143]
181,0.145159,60.6228,[871.389; 369.548]
182,0.203501,61.0118,[872.137; 372.067]
183,0.163375,60.8084,[876.364; 374.763]
184,0.20644,49.1609,[879.606; 367.579]
185,0.131227,60.9092,[879.762; 363.085]
186,0.165513,60.9189,[875.052; 367.689]
187,0.157998,60.455,[872.458; 368.842]
188,0.121095,60.6954,[872.389; 366.597]
189,0.237315,60.8897,[869.364; 362.934]
190,0.152229,60.3859,[868.083; 366.837]
191,0.208329,60.6044,[875.545; 368.806]
192,0.251133,56.65,[884.347; 374.34]
193,0.212018,60.0284,[888.543; 378.354]
194,0.276766,59.935,[895.65; 379.155]
195,0.174481,59.61,[900.095; 381.53]
196,0.182461,59.6113,[896.343; 376.181]
197,0.179413,59.8671,[899.65; 373.895]
